baseline,metric,n,meanDifference,medianDifference,ciLow,ciHigh,rankBiserial,pValue,pAdjusted,wins,ties,losses
current_solution_raw,EEAr,50,0.0135005639990728,0.0,-0.000605724488628931,0.0315499851191664,0.2087912087912088,0.15662843371566285,1.0,6,37,7
current_solution_raw,SOAx,50,0.0068485597595938285,0.0,0.0026054116347855663,0.01205290563645728,0.9340659340659341,0.001149988500114999,0.014949850501494985,12,37,1
current_solution_raw,HJL,50,-0.004999999999999999,0.0,-0.01833333333333333,0.005833333333333333,-0.2777777777777778,0.5854041459585404,1.0,3,42,5
current_solution_raw,WOM,50,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,50,0
current_solution_raw,HJAr,50,-0.010509412466380718,0.0,-0.019339727996837468,-0.0037554504200065994,-1.0,0.00018999810001899982,0.002849971500284997,0,37,13
current_solution_raw,TSE,50,0.30134857197699577,0.0,-0.19464467642625893,1.1173028328691486,-0.0989010989010989,0.5547744522554774,1.0,5,37,8
current_solution_raw,SYN,50,0.011299449228661511,0.0,0.0016309556115814677,0.022782326128192004,0.6483516483516484,0.03890961090389096,0.41557584424155763,10,37,3
ikpy,EEAr,50,-0.03816041196591608,-0.04693388511149588,-0.11619792073317967,0.03751881728313705,-0.20784313725490197,0.34175658243417567,1.0,18,0,32
ikpy,SOAx,50,-0.016360532237233657,-0.002513401585327424,-0.049495059912451,0.01563611443321192,-0.1403921568627451,0.3405965940340597,1.0,25,0,25
ikpy,HJL,50,0.12833333333333333,0.0,0.07166666666666667,0.19333333333333333,0.9507692307692308,9.99990000099999e-06,0.0002099979000209998,24,25,1
ikpy,WOM,50,0.68125,0.7291666666666667,0.605,0.7508437499999998,0.9937254901960785,9.99990000099999e-06,0.0002099979000209998,49,0,1
ikpy,HJAr,50,0.11978236376722146,0.11256720241565571,0.10590224927627989,0.13462121537819294,1.0,9.99990000099999e-06,0.0002099979000209998,50,0,0
ikpy,TSE,50,4.028791333514658,3.035253249998739,3.1870202171710584,4.953650834949764,1.0,9.99990000099999e-06,0.0002099979000209998,50,0,0
ikpy,SYN,50,-0.2221229848280471,-0.22694378092792253,-0.2800154586809483,-0.16714147831297757,-0.8886274509803922,9.99990000099999e-06,0.0002099979000209998,7,0,43
original_solution,EEAr,50,0.013534915325029923,0.0,-0.0005655884395217497,0.03159875665602211,0.2087912087912088,0.15592844071559284,1.0,6,37,7
original_solution,SOAx,50,0.00684996446590354,0.0,0.0026470700007217825,0.011863512768718996,0.9340659340659341,0.0013699863001369987,0.016439835601643984,12,37,1
original_solution,HJL,50,-0.009166666666666665,0.0,-0.02333333333333333,0.0016666666666666679,-0.6071428571428571,0.21905780942190578,1.0,1,43,6
original_solution,WOM,50,0.2316666666666667,0.17708333333333337,0.15083333333333335,0.31583333333333335,0.7979094076655052,9.99990000099999e-06,0.0002099979000209998,33,9,8
original_solution,HJAr,50,-0.010933417679872272,-8.673617379884035e-19,-0.019431797743695797,-0.004008384470406877,-1.0,0.00032999670003299966,0.004619953800461995,0,37,13
original_solution,TSE,50,0.32601990372651485,-2.0816681711721685e-17,-0.16470107249317292,1.1107228444476778,-0.01098901098901099,0.4948350516494835,1.0,6,37,7
original_solution,SYN,50,0.011369653620155512,0.0,0.0017582573996834947,0.022762468213898168,0.6483516483516484,0.037779622203777966,0.41557584424155763,10,37,3
