videoId,category,categoryLabel,method,metric,value
video_004,basketball_movements,Basketball,current_solution_constrained,SYN,1.0274096929984093
video_004,basketball_movements,Basketball,current_solution_raw,EEAr,1.1988973806784136
video_004,basketball_movements,Basketball,current_solution_raw,SOAx,1.6773534433175665
video_004,basketball_movements,Basketball,current_solution_raw,HJL,0.0
video_004,basketball_movements,Basketball,current_solution_raw,WOM,1.0
video_004,basketball_movements,Basketball,current_solution_raw,HJAr,0.001045194649534222
video_004,basketball_movements,Basketball,current_solution_raw,TSE,0.06420784663901355
video_004,basketball_movements,Basketball,current_solution_raw,SYN,1.0274096929984093
video_004,basketball_movements,Basketball,ikpy,EEAr,1.1227232861840237
video_004,basketball_movements,Basketball,ikpy,SOAx,1.5567822005790244
video_004,basketball_movements,Basketball,ikpy,HJL,0.0
video_004,basketball_movements,Basketball,ikpy,WOM,0.1875
video_004,basketball_movements,Basketball,ikpy,HJAr,0.10273151224797672
video_004,basketball_movements,Basketball,ikpy,TSE,1.107333100248973
video_004,basketball_movements,Basketball,ikpy,SYN,0.4605073296564436
video_004,basketball_movements,Basketball,original_solution,EEAr,1.1988973806784136
video_004,basketball_movements,Basketball,original_solution,SOAx,1.6773534433175665
video_004,basketball_movements,Basketball,original_solution,HJL,0.0
video_004,basketball_movements,Basketball,original_solution,WOM,0.625
video_004,basketball_movements,Basketball,original_solution,HJAr,0.001045194649534222
video_004,basketball_movements,Basketball,original_solution,TSE,0.0642078466390134
video_004,basketball_movements,Basketball,original_solution,SYN,1.0274096929984096
video_005,basketball_movements,Basketball,current_solution_constrained,EEAr,0.17173853356088534
video_005,basketball_movements,Basketball,current_solution_constrained,SOAx,1.9810493075944802
video_005,basketball_movements,Basketball,current_solution_constrained,HJL,0.125
video_005,basketball_movements,Basketball,current_solution_constrained,WOM,1.0
video_005,basketball_movements,Basketball,current_solution_constrained,HJAr,0.0013157064380852953
video_005,basketball_movements,Basketball,current_solution_constrained,TSE,0.25839856617255214
video_005,basketball_movements,Basketball,current_solution_constrained,SYN,0.6011696556339814
video_005,basketball_movements,Basketball,current_solution_raw,EEAr,0.17173853356088534
video_005,basketball_movements,Basketball,current_solution_raw,SOAx,1.9810493075944802
video_005,basketball_movements,Basketball,current_solution_raw,HJL,0.125
video_005,basketball_movements,Basketball,current_solution_raw,WOM,1.0
video_005,basketball_movements,Basketball,current_solution_raw,HJAr,0.0013157064380852953
video_005,basketball_movements,Basketball,current_solution_raw,TSE,0.25839856617255214
video_005,basketball_movements,Basketball,current_solution_raw,SYN,0.6011696556339814
video_005,basketball_movements,Basketball,ikpy,EEAr,0.651585502003418
video_005,basketball_movements,Basketball,ikpy,SOAx,1.8061657075898174
video_005,basketball_movements,Basketball,ikpy,HJL,0.041666666666666664
video_005,basketball_movements,Basketball,ikpy,WOM,0.14583333333333334
video_005,basketball_movements,Basketball,ikpy,HJAr,0.28381547787401634
video_005,basketball_movements,Basketball,ikpy,TSE,1.703367010194037
video_005,basketball_movements,Basketball,ikpy,SYN,0.3729102765476902
video_005,basketball_movements,Basketball,original_solution,EEAr,0.17173853356088528
video_005,basketball_movements,Basketball,original_solution,SOAx,1.9810493075944802
video_005,basketball_movements,Basketball,original_solution,HJL,0.125
video_005,basketball_movements,Basketball,original_solution,WOM,0.9791666666666667
video_005,basketball_movements,Basketball,original_solution,HJAr,0.0013157064380852918
video_005,basketball_movements,Basketball,original_solution,TSE,0.2583985661725514
video_005,basketball_movements,Basketball,original_solution,SYN,0.6011696556339814
video_006,basketball_movements,Basketball,current_solution_constrained,EEAr,0.8423430147929246
video_006,basketball_movements,Basketball,current_solution_constrained,SOAx,1.0559254336016533
video_006,basketball_movements,Basketball,current_solution_constrained,HJL,0.0
video_006,basketball_movements,Basketball,current_solution_constrained,WOM,0.6666666666666666
video_006,basketball_movements,Basketball,current_solution_constrained,HJAr,0.006020385156070957
video_006,basketball_movements,Basketball,current_solution_constrained,TSE,0.6045414373102691
video_006,basketball_movements,Basketball,current_solution_constrained,SYN,0.5832099745354687
video_006,basketball_movements,Basketball,current_solution_raw,EEAr,0.8423430147929246
video_006,basketball_movements,Basketball,current_solution_raw,SOAx,1.0559254336016533
video_006,basketball_movements,Basketball,current_solution_raw,HJL,0.0
video_006,basketball_movements,Basketball,current_solution_raw,WOM,0.6666666666666666
video_006,basketball_movements,Basketball,current_solution_raw,HJAr,0.006020385156070957
video_006,basketball_movements,Basketball,current_solution_raw,TSE,0.6045414373102691
video_006,basketball_movements,Basketball,current_solution_raw,SYN,0.5832099745354687
video_006,basketball_movements,Basketball,ikpy,EEAr,1.1330867748119355
video_006,basketball_movements,Basketball,ikpy,SOAx,1.3322295771002222
video_006,basketball_movements,Basketball,ikpy,HJL,0.0
video_006,basketball_movements,Basketball,ikpy,WOM,0.20833333333333331
video_006,basketball_movements,Basketball,ikpy,HJAr,0.06832335750028345
video_006,basketball_movements,Basketball,ikpy,TSE,2.4710323177921465
video_006,basketball_movements,Basketball,ikpy,SYN,0.30751043919767185
video_006,basketball_movements,Basketball,original_solution,EEAr,0.8423430147929246
video_006,basketball_movements,Basketball,original_solution,SOAx,1.055925433601653
video_006,basketball_movements,Basketball,original_solution,HJL,0.0
video_006,basketball_movements,Basketball,original_solution,WOM,0.125
video_006,basketball_movements,Basketball,original_solution,HJAr,0.006020385156070967
video_006,basketball_movements,Basketball,original_solution,TSE,0.6045414373102685
video_006,basketball_movements,Basketball,original_solution,SYN,0.5832099745354689
video_007,basketball_movements,Basketball,current_solution_constrained,EEAr,1.199649709369354
video_007,basketball_movements,Basketball,current_solution_constrained,SOAx,1.3100831488528573
video_007,basketball_movements,Basketball,current_solution_constrained,HJL,0.0
video_007,basketball_movements,Basketball,current_solution_constrained,WOM,0.7708333333333333
video_007,basketball_movements,Basketball,current_solution_constrained,HJAr,0.0021702328328065353
video_007,basketball_movements,Basketball,current_solution_constrained,TSE,0.08919553323714446
video_007,basketball_movements,Basketball,current_solution_constrained,SYN,0.9009489158246525
video_007,basketball_movements,Basketball,current_solution_raw,EEAr,1.199649709369354
video_007,basketball_movements,Basketball,current_solution_raw,SOAx,1.3100831488528573
video_007,basketball_movements,Basketball,current_solution_raw,HJL,0.0
video_007,basketball_movements,Basketball,current_solution_raw,WOM,0.7708333333333333
video_007,basketball_movements,Basketball,current_solution_raw,HJAr,0.0021702328328065353
video_007,basketball_movements,Basketball,current_solution_raw,TSE,0.08919553323714446
video_007,basketball_movements,Basketball,current_solution_raw,SYN,0.9009489158246525
video_007,basketball_movements,Basketball,ikpy,EEAr,0.9194186917199643
video_007,basketball_movements,Basketball,ikpy,SOAx,1.2756789063875107
video_007,basketball_movements,Basketball,ikpy,HJL,0.0
video_007,basketball_movements,Basketball,ikpy,WOM,0.33333333333333337
video_007,basketball_movements,Basketball,ikpy,HJAr,0.058542961155889986
video_007,basketball_movements,Basketball,ikpy,TSE,1.6202744400189069
video_007,basketball_movements,Basketball,ikpy,SYN,0.49077132196501805
video_007,basketball_movements,Basketball,original_solution,EEAr,1.199649709369354
video_007,basketball_movements,Basketball,original_solution,SOAx,1.3100831488528573
video_007,basketball_movements,Basketball,original_solution,HJL,0.0
video_007,basketball_movements,Basketball,original_solution,WOM,0.3541666666666667
video_007,basketball_movements,Basketball,original_solution,HJAr,0.0021702328328065353
video_007,basketball_movements,Basketball,original_solution,TSE,0.08919553323714437
video_007,basketball_movements,Basketball,original_solution,SYN,0.9009489158246525
video_008,basketball_movements,Basketball,current_solution_constrained,EEAr,1.2793132230530095
video_008,basketball_movements,Basketball,current_solution_constrained,SOAx,1.396127035561689
video_008,basketball_movements,Basketball,current_solution_constrained,HJL,0.0
video_008,basketball_movements,Basketball,current_solution_constrained,WOM,0.9166666666666667
video_008,basketball_movements,Basketball,current_solution_constrained,HJAr,0.0013112993558248118
video_008,basketball_movements,Basketball,current_solution_constrained,TSE,0.2681915547240122
video_008,basketball_movements,Basketball,current_solution_constrained,SYN,0.8128381647028231
video_008,basketball_movements,Basketball,current_solution_raw,EEAr,1.2793132230530095
video_008,basketball_movements,Basketball,current_solution_raw,SOAx,1.396127035561689
video_008,basketball_movements,Basketball,current_solution_raw,HJL,0.0
video_008,basketball_movements,Basketball,current_solution_raw,WOM,0.9166666666666667
video_008,basketball_movements,Basketball,current_solution_raw,HJAr,0.0013112993558248118
video_008,basketball_movements,Basketball,current_solution_raw,TSE,0.2681915547240122
video_008,basketball_movements,Basketball,current_solution_raw,SYN,0.8128381647028231
video_008,basketball_movements,Basketball,ikpy,EEAr,1.1726651749546533
video_008,basketball_movements,Basketball,ikpy,SOAx,1.5359302586851649
video_008,basketball_movements,Basketball,ikpy,HJL,0.0
video_008,basketball_movements,Basketball,ikpy,WOM,0.2708333333333333
video_008,basketball_movements,Basketball,ikpy,HJAr,0.09182505318752178
video_008,basketball_movements,Basketball,ikpy,TSE,1.7345019044034735
video_008,basketball_movements,Basketball,ikpy,SYN,0.3659626097099404
video_008,basketball_movements,Basketball,original_solution,EEAr,1.2793132230530095
video_008,basketball_movements,Basketball,original_solution,SOAx,1.396127035561689
video_008,basketball_movements,Basketball,original_solution,HJL,0.0
video_008,basketball_movements,Basketball,original_solution,WOM,0.5208333333333334
video_008,basketball_movements,Basketball,original_solution,HJAr,0.0013112993558248118
video_008,basketball_movements,Basketball,original_solution,TSE,0.26819155472401224
video_008,basketball_movements,Basketball,original_solution,SYN,0.8128381647028231
video_009,basketball_movements,Basketball,current_solution_constrained,EEAr,1.172430654383442
video_009,basketball_movements,Basketball,current_solution_constrained,SOAx,1.2548203592278033
video_009,basketball_movements,Basketball,current_solution_constrained,HJL,0.0
video_009,basketball_movements,Basketball,current_solution_constrained,WOM,0.8541666666666666
video_009,basketball_movements,Basketball,current_solution_constrained,HJAr,0.0010560461482261342
video_009,basketball_movements,Basketball,current_solution_constrained,TSE,0.31513598777891605
video_009,basketball_movements,Basketball,current_solution_constrained,SYN,0.6496755930155761
video_009,basketball_movements,Basketball,current_solution_raw,EEAr,1.172430654383442
video_009,basketball_movements,Basketball,current_solution_raw,SOAx,1.2548203592278033
video_009,basketball_movements,Basketball,current_solution_raw,HJL,0.0
video_009,basketball_movements,Basketball,current_solution_raw,WOM,0.8541666666666666
video_009,basketball_movements,Basketball,current_solution_raw,HJAr,0.0010560461482261342
video_009,basketball_movements,Basketball,current_solution_raw,TSE,0.31513598777891605
video_009,basketball_movements,Basketball,current_solution_raw,SYN,0.6496755930155761
video_009,basketball_movements,Basketball,ikpy,EEAr,1.1266814194239967
video_009,basketball_movements,Basketball,ikpy,SOAx,1.4032448765567107
video_009,basketball_movements,Basketball,ikpy,HJL,0.0
