Upper Arm;Forearm;Hand Palm;Twist Right;Twist Left;Comment;;;;;;;;;
DOWN;RIGHT;BACK;360;CENTERED;;;;;;;;;;
DOWN;FRONT;UP;OUTWARD;OUTWARD;;;;;;;;;;
DOWN;FRONT;DOWN;INWARD;INWARD;;;;;;;;;;
DOWN;FRONT;LEFT;CENTERED;360;;;;;;;;;;
DOWN;FRONT;RIGHT;360;CENTERED;;;;;;;;;;
DOWN;FRONT;FRONT;NAN WRIST;NAN WRIST;;;;;;;;;;
DOWN;FRONT;BACK;NAN WRIST;NAN WRIST;;;;;;;;;;
DOWN;BACK;UP;NAN HUMAN;NAN HUMAN;;;;;;;;;;
DOWN;BACK;DOWN;NAN HUMAN;NAN HUMAN;;;;;;;;;;
DOWN;BACK;LEFT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
DOWN;BACK;RIGHT;NAN HUMAN;NAN HUMAN;;;;;;;;;;
DOWN;BACK;FRONT;NAN HUMAN, NAN WRIST;NAN HUMAN, NAN WRIST;;;;;;;;;;
DOWN;BACK;BACK;NAN HUMAN, NAN WRIST;NAN HUMAN, NAN WRIST;;;;;;;;;;
LEFT;UP;UP;NAN SHOULDER, NAN WRIST;NAN WRIST;Should behave like front up because of NAN Shoulder JUST on right side;;;;;;;;;
LEFT;UP;DOWN;NAN SHOULDER, NAN WRIST;NAN WRIST;Should behave like front up because of NAN Shoulder JUST on right side;;;;;;;;;
LEFT;UP;LEFT;NAN SHOUDLER, INWARD (CENTERED);INWARD;Should behave like front up because of NAN Shoulder JUST on right side;;;;;;;;;
LEFT;UP;RIGHT;NAN SHOULDER, OUTWRARD (360);OUTWARD;Should behave like front up because of NAN Shoulder JUST on right side;;;;;;;;;
LEFT;UP;FRONT;NAN SHOULDER, INWARD;CENTERED;Should behave like front up because of NAN Shoulder JUST on right side;;;;;;;;;
LEFT;UP;BACK;NAN SHOULDER, OUTWARD;360;Should behave like front up because of NAN Shoulder JUST on right side;;;;;;;;;
LEFT;DOWN;UP;NAN HUMAN, NAN SHOULDER, NAN WRIST;NAN WRIST;;;;;;;;;;
LEFT;DOWN;DOWN;NAN HUMAN, NAN SHOULDER, NAN WRIST;NAN WRIST;;;;;;;;;;
LEFT;DOWN;LEFT;NAN HUMAN, NAN SHOULDER;INWARD;;;;;;;;;;
LEFT;DOWN;RIGHT;NAN HUMAN, NAN SHOULDER;OUTWARD;;;;;;;;;;
LEFT;DOWN;FRONT;NAN HUMAN, NAN SHOULDER;360, (OUTWARD);;;;;;;;;;
LEFT;DOWN;BACK;NAN HUMAN, NAN SHOULDER;CENTERED;;;;;;;;;;
LEFT;LEFT;UP;NAN SHOULDER. OUTWARD;OUTWARD;Singular depends on shoulder;;;;;;;;;
